image_path,source_dataset,source_label,proposed_label,final_label,split,review_status,reviewer,review_notes,lesion_pattern_notes,quality_notes,duplicate_group_id,challenge_only,exclude_reason
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1141.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,dr_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1163.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1164.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1173.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,dr_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1200.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,dr_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1201.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,dr_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1205.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,dr_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1207.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1213.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,dr_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1214.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,dr_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR122.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,dr_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1386.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1387.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,,,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1395.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,dr_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,,,,false,
