image_path,source_dataset,source_label,proposed_label,final_label,split,review_status,reviewer,review_notes,lesion_pattern_notes,quality_notes,duplicate_group_id,challenge_only,exclude_reason
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR10.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,no strong lesion-pattern dominance visible from contact sheet; source DR label not strongly supported by visible pattern,acceptable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR100.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1000.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1001.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,no strong lesion-pattern dominance visible from contact sheet; source DR label not strongly supported by visible pattern,acceptable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1002.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,diffuse non-target retinal/pigmentary or severe complex pattern suspected; may not fit the five-class separation lane cleanly,needs full-image review; consider exclude only if confirmed outside target taxonomy,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1003.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,diffuse non-target retinal/pigmentary or severe complex pattern suspected; may not fit the five-class separation lane cleanly,needs full-image review; consider exclude only if confirmed outside target taxonomy,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1004.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,diffuse non-target retinal/pigmentary or severe complex pattern suspected; may not fit the five-class separation lane cleanly,needs full-image review; consider exclude only if confirmed outside target taxonomy,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1005.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1006.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1007.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1008.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1009.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR101.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1010.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1011.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1012.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1013.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1014.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1015.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1016.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1017.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1018.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1019.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR102.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1020.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1021.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1022.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1023.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1024.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1025.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1026.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1027.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1028.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,no strong lesion-pattern dominance visible from contact sheet; source DR label not strongly supported by visible pattern,acceptable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1029.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR103.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,exudate_macular_pattern_dominant,unset,accepted,chatgpt_visual_review_2026_05_02,,exudate/macular-dominant visible pattern; yellow hard-exudate-like lesions dominate; source DR folder label treated as hint only,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1030.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1031.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1032.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1033.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1034.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1035.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,diffuse non-target retinal/pigmentary or severe complex pattern suspected; may not fit the five-class separation lane cleanly,needs full-image review; consider exclude only if confirmed outside target taxonomy,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1036.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,diffuse non-target retinal/pigmentary or severe complex pattern suspected; may not fit the five-class separation lane cleanly,needs full-image review; consider exclude only if confirmed outside target taxonomy,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1037.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,no strong lesion-pattern dominance visible from contact sheet; source DR label not strongly supported by visible pattern,acceptable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1038.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1039.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR104.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,mixed_hemorrhage_exudate_pattern,unset,accepted,chatgpt_visual_review_2026_05_02,,mixed visible lesion pattern with hemorrhage-like and exudate-like findings; not clean DR-pattern-dominant,usable from contact sheet; full-image review still recommended before any fitting export,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1040.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1041.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Diabetic Retinopathy/DR1042.jpg,Eye Disease Image Dataset,Diabetic Retinopathy,dr_pattern_dominant,,unset,needs_second_review,chatgpt_visual_review_2026_05_02,,complex or low-confidence contact-sheet appearance; do not force final label from contact sheet alone,needs full-image review for quality and pattern confidence,,false,
