image_path,source_dataset,source_label,proposed_label,final_label,split,review_status,reviewer,review_notes,lesion_pattern_notes,quality_notes,duplicate_group_id,challenge_only,exclude_reason
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy1.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export.,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy10.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export.,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy100.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export.,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy1000.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export. Slightly warm/low-contrast appearance but still usable from contact sheet.,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy1001.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export.,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy1002.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export.,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy1003.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export.,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy1004.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export.,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy1005.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export.,,false,
/Volumes/My Passport/EyeScan App/Datasets/Augmented Dataset-Kaggle/Eye Disease Image Dataset/Original Dataset/Healthy/Healthy1006.jpg,Eye Disease Image Dataset,Healthy,normal_or_non_specific,normal_or_non_specific,unset,accepted,chatgpt_visual_review_2026_05_02,,No strong DR/exudate/hemorrhage pattern visible from contact sheet; suitable normal/non-specific candidate from visual review.,Usable fundus image from contact sheet; full-image review still recommended before any fitting export.,,false,
