"evidence_id","fitting_class","split","image_path","cached_external_path","cache_exists","file_size_bytes","source_batch","source_dataset","notes"
"batch_008_dr_pattern_evidence_dry_run_047","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0030_moderate_07d8db76b301.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\001__batch_008_dr_pattern_evidence_dry_run_047__07d8db76b301.png","true","67945","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_033","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0033_moderate_094858f005ab.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\002__batch_008_dr_pattern_evidence_dry_run_033__094858f005ab.png","true","67394","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_051","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0048_moderate_0d0a21fd354f.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\003__batch_008_dr_pattern_evidence_dry_run_051__0d0a21fd354f.png","true","68079","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_084","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0113_moderate_1c5e6cdc7ee1.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\004__batch_008_dr_pattern_evidence_dry_run_084__1c5e6cdc7ee1.png","true","70225","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_034","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0134_moderate_203275daf46d.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\005__batch_008_dr_pattern_evidence_dry_run_034__203275daf46d.png","true","71344","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_054","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0164_moderate_26e231747848.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\006__batch_008_dr_pattern_evidence_dry_run_054__26e231747848.png","true","65548","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_037","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0184_moderate_2a3a1ed1c285.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\007__batch_008_dr_pattern_evidence_dry_run_037__2a3a1ed1c285.png","true","71145","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_038","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0190_moderate_2b21d293fdf2.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\008__batch_008_dr_pattern_evidence_dry_run_038__2b21d293fdf2.png","true","71145","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_095","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0191_moderate_2b88cb6e31cd.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\009__batch_008_dr_pattern_evidence_dry_run_095__2b88cb6e31cd.png","true","66123","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_055","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0227_moderate_36ec36c301c1.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\010__batch_008_dr_pattern_evidence_dry_run_055__36ec36c301c1.png","true","65548","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_044","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0238_moderate_3a1d3ce00f0c.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\011__batch_008_dr_pattern_evidence_dry_run_044__3a1d3ce00f0c.png","true","72198","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_085","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0245_moderate_3c53198519f7.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\012__batch_008_dr_pattern_evidence_dry_run_085__3c53198519f7.png","true","70225","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_076","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0267_moderate_419406328dcd.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\013__batch_008_dr_pattern_evidence_dry_run_076__419406328dcd.png","true","70310","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_017","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0272_moderate_42a67337fa8e.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\014__batch_008_dr_pattern_evidence_dry_run_017__42a67337fa8e.png","true","70142","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_015","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0278_moderate_437900a99871.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\015__batch_008_dr_pattern_evidence_dry_run_015__437900a99871.png","true","70234","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
"batch_008_dr_pattern_evidence_dry_run_029","dr_pattern_dominant","train","Google Colab/Fundus DR Hem Exudate Separation/review_batches/batch_008_kaggle_dr_224_full_upload_pack/images/moderate/row_0293_moderate_453d553b0a94.png","F:\EyeScan_Local_Data\large_dr_82gb_work\fitting_v1_batch_008_image_cache\images\016__batch_008_dr_pattern_evidence_dry_run_029__453d553b0a94.png","true","68482","batch_008_kaggle_dr_224","Kaggle Diabetic Retinopathy 224x224 2019","resolved from Mac Batch 008 transfer manifest; external cache only"
